Band_Number	Nominal_Frequency	Base_2_Calculated-Frequency	Base_10_Calculated_Frequency
1	16	15.625	15.849
2	20	19.686	19.953
3	25	24.803	25.119
4	31.5	31.250	31.623
5	40	39.373	39.811
6	50	49.606	50.119
7	63	62.500	63.096
8	80	78.745	79.433
9	100	99.213	100
10	125	125.000	125.89
11	160	157.490	158.49
12	200	198.425	199.53
13	250	250.000	251.19
14	315	314.980	316.23
15	400	396.850	398.11
16	500	500.000	501.19
17	630	629.961	630.96
18	800	793.701	794.43
19	1000	1000.000	1000
20	1250	1259.921	1258.9
21	1600	1587.401	1584.9
22	2000	2000.000	1995.3
23	2500	2519.842	2511.9
24	3150	3174.802	3162.3
25	4000	4000.000	3981.1
26	5000	5039.684	5011.9
27	6300	6349.604	6309.6
28	8000	8000.000	7943.3
29	10000	10079.368	10000
30	12500	12699.208	12589
31	16000	16000.000	15849
32	20000	20158.737	19953
